name,brandName,ratingScore,price,processor,ram,memory,displaySize,gen
"macbook pro 16""",Apple,0.0,530000.0,other,2gb,1tb,"16""",
asus rog zephyrus,ASUS,0.0,375000.0,amd,6gb,1tb,"15.6""",
gateway gwtn156 ryzen,Gateway,4.0,79999.0,ryzen,8gb,512gb,"15.6""",
hp envy x360,HP,0.0,160000.0,other,8gb,512gb,,
dell inspiron 15,No Brand,0.0,67900.0,i3,4gb,256ssd,,
dell lnspirion15 3515r53450u8gb256gb,Dell,0.0,78000.0,amd,8gb,256gb,"15.6""",
dell inspiron 15,Dell,0.0,105900.0,amd,8gb,512gb,"15.6""",
acer swift x,Acer,0.0,144999.0,i7,4gb,1tb,"16.1""",11th
dell inspiron g15,Dell,0.0,172900.0,amd,8gb,512ssd,,
asus vivobook 14,ASUS,0.0,102410.0,i5,8gb,512ssd,,11th
asus rog strix,ASUS,0.0,360000.0,ryzen,,1 tb,15.6,
dell inspiron 5625,Dell,0.0,122000.0,amd,8gb,512gb,"16""",
dell inspiron 15,Dell,0.0,122900.0,amd,8gb,512gb,"15.6""",
thinkpad x1 carbon,Lenovo,0.0,229950.0,other,8gb,256ssd,,
acer aspire 5,Acer,0.0,71990.0,i5,8gb,256gb,"15.6""",11th
dell lnspiron 15,Dell,0.0,101000.0,i5,8gb,512gb,"15.6""",
redmibook 15 core,MI,0.0,74999.0,i3,8 gb,256 gb,"15.6""",11th
asus rog strix,ASUS,0.0,410000.0,ryzen,,1 tb,15.6,
"macbook pro 14""",Apple,0.0,380000.0,other,6gb,1tb,"14""",
lenovo ideapad 1,Lenovo,0.0,56000.0,ryzen,8gb,256gb,"15.6""",
asus zenbook 14x,ASUS,0.0,214444.0,i7,6gb,1tb,"14""",
asus tuf gaming,ASUS,0.0,163000.0,i7,6gb,512gb,"15.6""",711th
dell inspiron 15,Dell,0.0,105900.0,amd,8gb,512ssd,,
dell inspiron 3501,Dell,0.0,109900.0,i5,8gb,512gb,"15""",
hp pavilion 15,HP,0.0,94999.0,intel,8gb,256gb,"15.6""",12th
acer extensa 15,Acer,0.0,78990.0,i5,8gb,256gb,15.6,
asus vivobook 14,ASUS,0.0,63984.0,i3,4gb,256ssd,,
asus zenbook q508,ASUS,0.0,117999.0,amd,8gb,256gb,15.6,
thinkpad x13 gen,Lenovo,0.0,209500.0,intel,,,,13 gen
laptop hp 14,HP,0.0,67050.0,i3,4gb,256gb,"14""",11th
dell inspiron 3511,No Brand,0.0,81999.0,i5,8gb,512gb,,11th
dell inspiron 15,Dell,0.0,105900.0,amd,8gb,512gb,"15.6""",
